Production_Region,Primary_Farm_Class,N_Urine_Flattish_pct,N_Urine_Steep_pct
Eastern North Island,North Island Hard Hill Country,0.405,0.595
Eastern North Island,North Island Hill Country,0.55,0.44999999999999996
Eastern North Island,North Island Finishing,0.6394125908458016,0.3605874091541984
Northern and Central South Island,South Island High Country,0.405,0.595
Northern and Central South Island,South Island Hill Country,0.55,0.44999999999999996
Northern and Central South Island,South Island Finishing-Breeding,0.6391834310338135,0.3608165689661865
Northern and Central South Island,South Island Mixed Cropping & Finishing,0.7904147708911471,0.2095852291088529
Northern North Island,North Island Hard Hill Country,0.405,0.595
Northern North Island,North Island Hill Country,0.55,0.44999999999999996
Northern North Island,North Island Finishing,0.6579673822680816,0.3420326177319184
Western and Southern South Island,South Island High Country,0.405,0.595
Western and Southern South Island,South Island Hill Country,0.55,0.44999999999999996
Western and Southern South Island,South Island Finishing-Breeding,0.55,0.44999999999999996
Western and Southern South Island,South Island Finishing,0.7362135869268186,0.2637864130731814
Western North Island,North Island Hard Hill Country,0.55,0.44999999999999996
Western North Island,North Island Hill Country,0.55,0.44999999999999996
Western North Island,North Island Finishing,0.8260867160712311,0.17391328392876892
Western and Southern South Island,South Island Mixed Cropping & Finishing,0.7904147708911471,0.2095852291088529
Northern and Central South Island,South Island Finishing,0.7362135869268186,0.2637864130731814
